category,city,end_time,name,site_lat,site_lng,site_name,start_time
消费电子,深圳市,2018-04-16,2018深圳国际电子烟产业博览会,22.5363839471,114.066517985,深圳会展中心,2018-04-14
能源矿产,鄂尔多斯市,2018-04-18,第十三届鄂尔多斯国际煤炭及能源工业博览会,39.6150989765,109.799138012,鄂尔多斯国际会展中心,2018-04-16
交通工具,上海市,2018-11-21,2018上海国际客车展,31.2131561422,121.572795285,上海新国际博览中心,2018-11-19
消费电子,西安市,2018-04-17,2018中国西安西部家电厨卫及净水产业博览会,34.2021162501,108.957182968,西安曲江国际会展中心,2018-04-15
化工橡塑,广州市,2018-04-17,2018中国广州国际塑料橡胶工业展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-15
安全防护,昆明市,2018-04-18,2018昆明东南亚南亚安防暨警用装备展览,24.9491759312,102.714387262,昆明滇池国际会展中心,2018-04-16
仪器仪表,武汉市,2018-04-20,2018中国国际衡器展览会,30.5133201709,114.248155501,武汉国际博览中心A1A2馆,2018-04-18
纸业制品,南京市,2018-04-20,第二十五届生活用纸国际科技展览及会议2018年南京生活用纸年会暨妇婴童老人卫生护理用品展会,32.0001775899,118.724174266,南京国际博览中心,2018-04-18
广告媒体,北京市,2018-04-18,2018北京国际喷印雕刻标识技术展览会,40.0050493821,116.396532673,北京国家会议中心,2018-04-16
旅游行业,北京市,2018-04-18,2018中国出境旅游交易会,39.9470088626,116.470306905,北京全国农业展览馆,2018-04-16
交通工具,上海市,2018-04-21,第十三届中国国际轨道交通技术展览会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-19
医疗保健,济南市,2018-04-21,第六届中国济南国际口腔器材展览会暨山东省口腔医学会第六次学术年会,36.6410208515,117.030675538,济南舜耕国际会展中心,2018-04-18
建材五金,廊坊市,2018-04-19,2018中国国际管道大会暨高峰论坛,39.5186106251,116.703602223,廊坊国际会议展览中心,2018-04-17
美容美发,北京市,2018-04-21,2018第三十二届中国北京国际美容化妆品博览会春季,39.9678796505,116.449740311,中国国际展览中心,2018-04-19
化工橡塑,成都市,2018-04-21,第六届中国成都表面处理电镀涂装展览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-19
机械工业,佛山市,2018-04-20,2018佛山五金机电及机械零配件展览会暨佛山焊接与切割设备展览会,23.0390706112,113.162524737,顺联国际博览中心,2018-04-18
贸易进出口,广州市,2018-04-19,第123届中国进出口商品交易会第一期,23.1499658876,113.263495803,中国进出口商品交易会展馆琶洲馆,2018-04-15
贸易进出口,东莞市,2018-04-22,2018中国加工贸易产品博览会,22.9062440963,113.667281334,广东现代国际展览中心,2018-04-19
贸易进出口,上海市,2018-04-21,2018中国上海国际技术进出口交易会,31.1883954089,121.496502454,上海世博展览馆,2018-04-19
安全防护,沈阳市,2018-04-21,2018第二十届东北国际公共安全防范产品博览会暨辽宁消防产品与应急救援展览会,41.7568195667,123.444964295,沈阳新世界博览馆,2018-04-19
服装配饰,上海市,2018-04-21,2018上海国际校服园服展览会,31.1883954089,121.496502454,上海世博展览馆,2018-04-19
建材五金,上海市,2018-04-22,第二十九届中国国际玻璃工业技术展览会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-19
建材五金,成都市,2018-04-21,2018第十四届中国成都国际泵阀管道展,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-19
机械工业,上海市,2018-04-21,2018上海国际服装科技装备展览会,31.1883954089,121.496502454,上海世博展览馆,2018-04-19
食品饮料,北京市,2018-04-21,2018第十五届中国国际烘焙展览会,39.9678796505,116.449740311,中国国际展览中心,2018-04-19
礼品玩具,成都市,2018-04-22,2018中国成都国际宠物博览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-19
环保水处理,成都市,2018-04-21,2018第十四届中国成都国际水展,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-19
服装配饰,深圳市,2018-04-21,2018第十三届中国深圳国际品牌内衣展览会,22.5363839471,114.066517985,深圳会展中心,2018-04-19
孕婴童,上海市,2018-04-21,2018上海国际学前教育装备及智慧教育展览会暨上海国际学前教育加盟连锁及特许经营展览会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-19
暖通制冷,西安市,2018-04-22,第21届中国西安国际供热采暖与建筑环境技术设备展览会,34.2021162501,108.957182968,西安曲江国际会展中心,2018-04-20
广告媒体,乌鲁木齐市,2018-04-22,2018新疆国际广告四新及LED大屏幕展览会,43.884200728,87.6275464602,新疆国际会展中心,2018-04-20
环保水处理,西安市,2018-04-22,2018第十二届中国西安国际给净及水处理技术设备展览会,34.2021162501,108.957182968,西安曲江国际会展中心,2018-04-20
房产家居,济南市,2018-04-22,2018第24届中国济南国际建筑装饰博览会,36.6923183256,117.130223505,济南国际会展中心,2018-04-20
房产家居,临沂市,2018-04-22,2018中国临沂全屋定制精品展览会,35.0249309423,118.417878758,临沂国际会展中心,2018-04-20
体育休闲,上海市,2018-04-22,2018中国国际高尔夫球博览会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-20
孕婴童,廊坊市,2018-04-22,2018第二届中国廊坊母婴博览会暨品牌特卖会,39.5186106251,116.703602223,廊坊国际会议展览中心,2018-04-20
旅游行业,合肥市,2018-04-23,第四届合肥国际旅游商品暨旅游消费博览会,31.7859604137,117.229682151,安徽国际会展中心,2018-04-20
礼品玩具,西安市,2018-04-22,2018中国西安宠物水族用品博览会,34.2021162501,108.957182968,西安曲江国际会展中心,2018-04-20
食品饮料,西安市,2018-04-22,第十届中国西安国际食品博览会,34.2021162501,108.957182968,西安曲江国际会展中心,2018-04-20
环保水处理,成都市,2018-04-21,2018中国成都环保产业博览会,30.5634611427,104.08172949,成都世纪城新国际会展中心,2018-04-19
