category,city,name,site_lat,site_lng,site_name,start_time,end_time
创业加盟,北京市,CAE第十三届中国国际加盟展览会,40.00504938,116.3965327,北京国家会议中心,2018/11/26,2018/11/28
美容美发,深圳市,2018深港韩时尚美容博览会,22.53638395,114.066518,深圳会展中心,2018/4/4,2018/4/6
创业加盟,上海市,2018第十六届上海理财博览会,31.23088936,121.4593154,上海展览中心,2018/11/30,2018/12/2
建材五金,广州市,第二十三届中国国际涂料油墨及粘合剂展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/12/4,2018/12/6
食品饮料,北京市,第九届IEOE中国国际食用油产业博览会,39.96787965,116.4497403,中国国际展览中心,2018/12/4,2018/12/6
机械工业,北京市,2018第十四届中国北京国际煤炭装备及矿山技术设备展览会,39.96787965,116.4497403,中国国际展览中心,2018/11/21,2018/11/23
消费电子,上海市,2018上海国际潮流暨蒸汽文化周,31.21315614,121.5727953,上海新国际博览中心,2018/12/7,2018/12/9
安全防护,上海市,2018第十三届上海国际消防保安技术设备展览会,31.18839541,121.4965025,上海世博展览馆,2018/12/12,2018/12/14
旅游行业,深圳市,2018中国深圳国际旅游博览会,22.53638395,114.066518,深圳会展中心,2018/11/30,2018/12/2
美容美发,昆明市,2018中国昆明国际美容美发化妆品博览会,25.0153581,102.7377783,昆明国际会展中心,2018/12/12,2018/12/14
美容美发,南宁市,2018中国南宁国际高端美容院线产品及化妆品产业博览会,22.81439522,108.3857217,广西南宁国际会展中心,2018/12/6,2018/12/8
酒店用品,广州市,2018上海国际酒店用品博览会广州,23.10162394,113.37415,广州保利世贸展览馆,2018/12/17,2018/12/19
广告媒体,福州市,2018福州国际广告标识及LED照明展,26.03315979,119.3712392,福州海峡国际会展中心,2018/3/21,2018/3/23
食品饮料,上海市,2018第十三届中国上海国际肉类工业展览会,31.21315614,121.5727953,上海新国际博览中心,2018/12/12,2018/12/14
礼品玩具,上海市,2018上海国际宠物食品用品及宠物医疗展览会,31.21315614,121.5727953,上海新国际博览中心,2018/12/13,2018/12/16
电子电力,深圳市,2018深圳国际锂电技术展览会,22.53638395,114.066518,深圳会展中心,2018/12/10,2018/12/12
机械工业,石家庄,2018第十五届河北国际装备制造业展览会,38.61383975,115.6614336,河北汇春博览中心,2018/3/21,2018/3/24
建材五金,北京市,2018第十七届中国国际门业展览会第五届中国国际集成定制家居展览会,40.07713983,116.5552437,中国国际展览中心新馆,2018/3/21,2018/3/24
安全防护,武汉市,2018中国湖北国际公共安全技术产品博览会,30.51332017,114.2481555,武汉国际博览中心,2018/3/21,2018/3/23
食品饮料,赤峰市,2018第九届中国国际薯业博览会,42.29711232,118.9307612,内蒙古赤峰市国际会展中心,2018/3/21,2018/3/22
消费电子,郑州市,2018第九届中国郑州国际厨卫电器及净水设备展览会,34.77795862,113.7372866,郑州国际会展中心,2018/3/21,2018/3/23
酒店用品,广州市,2018第二十五届广州国际酒店设备用品博览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/12/16,2018/12/18
食品饮料,深圳市,第十七届中国深圳国际茶产业博览会暨紫砂陶瓷红木茶具用品展,22.53638395,114.066518,深圳会展中心,2018/12/13,2018/12/17
房产家居,北京市,2018中国国际睡眠科技产业博览会暨中国睡眠产业峰会,39.94625561,116.350719,北京展览馆,2018/3/21,2018/3/23
食品饮料,成都市,2018年第98届全国糖酒商品交易会,30.67994285,104.0679235,成都西博城国际会展中心,2018/3/22,2018/3/24
文化教育,武汉市,2018中国武汉国际乐器展览会,30.51332017,114.2481555,武汉国际博览中心B4B5馆,2018/3/22,2018/3/25
建材五金,上海市,第23届中国国际建筑贸易博览会,31.19545539,121.3087136,国家会展中心上海,2018/3/21,2018/3/23
机械工业,苏州市,2018第15届苏州国际工业博览会,31.32927823,120.7158032,苏州国际博览中心,2018/3/22,2018/3/25
机械工业,郑州市,2018中国中部郑州国际装备制造业博览会,34.77795862,113.7372866,郑州国际会展中心,2018/3/22,2018/3/24
信息通信,北京市,2018中国国际广播电视信息网络展览会,39.96787965,116.4497403,中国国际展览中心,2018/3/22,2018/3/24
印刷包装,上海市,2018亚洲瓦楞精品展,31.19545539,121.3087136,国家会展中心上海,2018/3/21,2018/3/23
食品饮料,上海市,2018第二十二届中国国际食品添加剂和配料展览会暨第二十八届全国食品添加剂生产应用技术展示会,31.19545539,121.3087136,国家会展中心上海,2018/3/22,2018/3/24
医疗保健,贵阳市,第十九届中国贵阳国际医疗器械设备与技术展览会,26.64786379,106.6525086,贵阳国际会议展览中心,2018/3/22,2018/3/24
创业加盟,上海市,2018上海国际餐饮美食加盟展,31.18839541,121.4965025,上海世博展览馆,2018/3/22,2018/3/24
医疗保健,上海市,2018中国国际眼科和视光技术及设备展览会,31.22853327,121.3988929,上海跨国采购会展中心,2018/3/23,2018/3/25
化工橡塑,郑州市,2018中国郑州塑料产业博览会,34.77795862,113.7372866,郑州国际会展中心,2018/3/22,2018/3/24
医疗保健,济南市,2018第三十九届中国国际医疗器械山东博览会春暨医院管理国际系列论坛,36.69231833,117.1302235,济南国际会展中心,2018/3/22,2018/3/24
医疗保健,南宁市,第二十九届北部湾广西医疗器械展览会,22.81439522,108.3857217,广西南宁国际会展中心,2018/3/23,2018/3/25
环保水处理,厦门市,2018中国厦门国际水展暨海丝之路水安全科技会议,24.47350542,118.1890096,厦门国际会展中心,2018/3/22,2018/3/24
交通工具,天津市,2018第十八届中国北方国际自行车电动车展览会,39.1439299,117.2108131,天津梅江国际会展中心,2018/3/23,2018/3/25
汽摩配件,武汉市,2018中国武汉国际汽车技术展览会,30.51332017,114.2481555,武汉国际博览中心,2018/3/22,2018/3/24
机械工业,济南市,2018第十三届中国山东国际装备制造业博览会,36.69231833,117.1302235,济南国际会展中心,2018/3/6,2018/3/8
交通工具,宁波市,第二十九届宁波国际汽车博览会,29.87533863,121.6209057,宁波国际会展中心,2018/3/23,2018/3/26
机械工业,上海市,2018上海国际切削工具及装备展览会,31.19545539,121.3087136,国家会展中心上海,2018/3/7,2018/3/10
机械工业,济南市,2018济南国际数控机床展览会,36.69231833,117.1302235,济南国际会展中心,2018/3/6,2018/3/8
纺织纺机,深圳市,2018春深圳国际家纺布艺暨家居装饰博览会,22.53638395,114.066518,深圳会展中心,2018/3/7,2018/3/10
消费电子,广州市,2018广州国际电子商务博览会,23.1036931,113.3668379,南丰国际会展中心,2018/3/23,2018/3/24
机械工业,上海市,2018中国机床展,31.19545539,121.3087136,国家会展中心上海,2018/3/7,2018/3/10
交通工具,郑州市,2018河南郑州国际新能源汽车及充电设施展览会,34.77795862,113.7372866,郑州国际会展中心,2018/3/6,2018/3/8
广告媒体,重庆市,2018第十七届中国西部国际广告节,29.53976222,106.5678841,重庆国际会议展览中心,2018/3/23,2018/3/25
孕婴童,南昌市,2018第六届中国南昌孕婴童产品展览会,28.61053094,115.8017864,南昌绿地国际博览中心,2018/3/8,2018/3/10
农林牧渔,上海市,第十九届中国国际农用化学品及植保展览会种子贸易专区,31.21315614,121.5727953,上海新国际博览中心,2018/3/7,2018/3/9
机械工业,上海市,2018中国上海国际现代工业智能装备展览会,31.19545539,121.3087136,国家会展中心上海,2018/3/7,2018/3/10
医疗保健,南京市,2018第二十届中国国际医疗器械江苏博览会暨华东地区医院管理高级论坛,32.00017759,118.7241743,南京国际博览中心,2018/3/8,2018/3/10
建材五金,北京市,2018第二十五届中国北京国际建筑装饰及材料博览会,39.92354785,116.3522819,北京国际展览中心新馆+老馆,2018/3/9,2018/3/12
建材五金,北京市,2018中国国际北京自动门电动门展览会,39.96787965,116.4497403,中国国际展览中心,2018/3/9,2018/3/12
医疗保健,成都市,2018第二十二届西部成都医疗器械展览会,30.56346114,104.0817295,成都世纪城新国际会展中心,2018/3/9,2018/3/11
机械工业,温州市,2018中国温州国际工业博览会,28.02241153,120.7246503,温州国际会展中心,2018/3/9,2018/3/11
消费电子,上海市,2018中国家电及消费电子博览会,31.21315614,121.5727953,上海新国际博览中心,2018/3/8,2018/3/11
孕婴童,上海市,中国上海第二十三届国际玩具暨上海第五十四届玩具博览会童车童床专业盛会,31.1737722,121.4346345,上海光大会展中心,2018/3/9,2018/3/11
医疗保健,北京市,2018第30届国际医疗仪器设备展览会,40.00504938,116.3965327,北京国家会议中心,2018/3/23,2018/3/25
医疗保健,西安市,第三十四届西部国际医疗器械展览会,34.20211625,108.957183,西安曲江国际会展中心,2018/3/8,2018/3/10
医疗保健,成都市,2018西部医院信息化建设展览会暨大会,30.56346114,104.0817295,成都世纪城新国际会展中心,2018/3/9,2018/3/11
广告媒体,长沙市,2018第十九届湖南广告四新展览会,28.11362013,113.0207805,长沙红星国际会展中心,2018/3/9,2018/3/11
建材五金,邢台市,2018中国沙河国际玻璃工业展览会,36.93863546,114.2830925,沙河国际会展中心,2018/3/10,2018/3/13
房产家居,成都市,2018成都家博会,30.56346114,104.0817295,成都世纪城新国际会展中心,2018/3/9,2018/3/12
建材五金,上海市,2018中国华夏家博会,31.18839541,121.4965025,上海世博展览馆,2018/3/9,2018/3/11
婚庆婚博,天津市,2018第十五届天津婚博会,39.1439299,117.2108131,天津梅江国际会展中心,2018/3/10,2018/3/11
美容美发,广州市,2018第四十八届广东国际美容美发化妆用品进出口博览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/3/10,2018/3/12
创业加盟,西安市,2018中国西安连锁加盟创业投资博览会,34.20211625,108.957183,西安曲江国际会展中心,2018/3/9,2018/3/11
医疗保健,合肥市,第23届安徽医疗器械展览会,31.76140865,117.3035499,合肥滨湖国际会展中心,2018/3/9,2018/3/11
钢铁冶金,青岛市,2018第十六届中国青岛国际金属加工技术设备展览会,36.11040075,120.4806224,青岛国际会展中心,2018/3/9,2018/3/11
建材五金,广州市,2018第二十四届全国铝门窗幕墙行业年会暨铝门窗幕墙新产品博览会,23.10162394,113.37415,广州保利世贸展览馆,2018/3/11,2018/3/13
印刷包装,广州市,2018中国国际包装工业展,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/3/10,2018/3/12
印刷包装,广州市,2018第二十五届华南国际印刷工业展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/3/10,2018/3/12
体育休闲,上海市,2018第36届中国国际体育用品博览会,31.19545539,121.3087136,国家会展中心上海,2018/5/25,2018/5/27
建材五金,上海市,2018中国华夏家博会,31.18839541,121.4965025,上海世博展览馆,2018/4/29,2018/5/1
建材五金,广州市,第21届广州国际阀门管业及流体设备展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/5/9,2018/5/11
汽摩配件,成都市,2018成都国际汽车零配件及售后服务展览会,30.56346114,104.0817295,成都世纪城新国际会展中心,2018/5/24,2018/5/26
文化教育,西安市,2018中国西安青少年教育产业博览会,34.20211625,108.957183,西安曲江国际会展中心,2018/5/25,2018/5/27
奢侈品,温州市,2018第十六届中国温州国际眼镜业展览会,28.02241153,120.7246503,温州国际会展中心,2018/5/5,2018/5/7
文化艺术,北京市,2018艺术北京博览会,39.94700886,116.4703069,北京全国农业展览馆,2018/4/29,2018/5/2
建材五金,上海市,第29届中国上海国际建材及室内装饰展览会,31.21315614,121.5727953,上海新国际博览中心,2018/7/18,2018/7/20
纺织纺机,义乌市,第十九届中国义乌国际纺织机械展览会,29.31803398,120.1198666,义乌国际博览中心,2018/5/17,2018/5/19
纺织纺机,南京市,2018第十七届南京国际纺织品面料辅料博览会,32.08221873,118.8132783,南京国际展览中心,2018/5/17,2018/5/19
建材五金,哈尔滨市,2018第18届中国哈尔滨国际五金博览会,45.76188107,126.7019144,哈尔滨国际会展中心,2018/5/17,2018/5/19
建材五金,沈阳市,2018第七届沈阳国际家博会,41.66836964,123.3796191,沈阳国际展览中心,2018/8/5,2018/8/7
消费电子,厦门市,2018中国国际人工智能零售暨无人店产业博览会厦门站,24.47350542,118.1890096,厦门国际会展中心,2018/6/22,2018/6/24
文化教育,西安市,2018中国西安佛教文化博览会,34.19849834,108.8933614,西安绿地笔克国际会展中心,2018/6/22,2018/6/25
